#  NACA 0012                                       
#  alpha =   5.0000
#  Mach  =   0.0000
#  Reyn  =   350000
#  Ncrit =   8.0000
#
#    x           cd
   0.678112E-02  0.531474E-08
   0.504841E-02  0.145937E-03
   0.357717E-02  0.700200E-03
   0.236272E-02  0.186989E-02
   0.140368E-02  0.384466E-02
   0.699086E-03  0.664221E-02
   0.243554E-03  0.100716E-01
   0.259998E-04  0.136679E-01
   0.259998E-04  0.171511E-01
   0.243554E-03  0.202234E-01
   0.699086E-03  0.221704E-01
   0.140368E-02  0.227756E-01
   0.236272E-02  0.221672E-01
   0.357717E-02  0.207209E-01
   0.504841E-02  0.188411E-01
   0.678112E-02  0.168365E-01
   0.878578E-02  0.148962E-01
   0.110804E-01  0.131147E-01
   0.136919E-01  0.115255E-01
   0.166578E-01  0.101294E-01
   0.200280E-01  0.891104E-02
   0.238668E-01  0.784982E-02
   0.282557E-01  0.692447E-02
   0.332945E-01  0.611552E-02
   0.391010E-01  0.540667E-02
   0.458056E-01  0.478500E-02
   0.535365E-01  0.424048E-02
   0.623950E-01  0.376581E-02
   0.724232E-01  0.335534E-02
   0.835817E-01  0.300388E-02
   0.957521E-01  0.270578E-02
   0.108768      0.245459E-02
   0.122457      0.224345E-02
   0.136665      0.206571E-02
   0.151271      0.191562E-02
   0.166187      0.178890E-02
   0.181347      0.168435E-02
   0.196704      0.568956E-02
   0.212225      0.769861E-02
   0.227882      0.731160E-02
   0.243657      0.654631E-02
   0.259534      0.598638E-02
   0.275499      0.558492E-02
   0.291543      0.527092E-02
   0.307657      0.500286E-02
   0.323834      0.476576E-02
   0.340067      0.455388E-02
   0.356351      0.436361E-02
   0.372681      0.419203E-02
   0.389054      0.403664E-02
   0.405464      0.389523E-02
   0.421909      0.376589E-02
   0.438387      0.364696E-02
   0.454893      0.353705E-02
   0.471426      0.343495E-02
   0.487983      0.333967E-02
   0.504562      0.325033E-02
   0.521162      0.316622E-02
   0.537779      0.308670E-02
   0.554413      0.301124E-02
   0.571062      0.293938E-02
   0.587724      0.287072E-02
   0.604397      0.280490E-02
   0.621081      0.274162E-02
   0.637773      0.268058E-02
   0.654473      0.262155E-02
   0.671178      0.256428E-02
   0.687888      0.250857E-02
   0.704602      0.245422E-02
   0.721317      0.240103E-02
   0.738033      0.234883E-02
   0.754749      0.229744E-02
   0.771463      0.224669E-02
   0.788174      0.219642E-02
   0.804880      0.214646E-02
   0.821580      0.209666E-02
   0.838269      0.204688E-02
   0.854945      0.199699E-02
   0.871596      0.194689E-02
   0.888206      0.189655E-02
   0.904738      0.184607E-02
   0.921117      0.179574E-02
   0.937198      0.174625E-02
   0.952717      0.169882E-02
   0.967266      0.165527E-02
   0.980369      0.161771E-02
   0.991680      0.158710E-02
    1.00000      0.156879E-02
    1.00010      0.633170E-02
    1.00850      0.649319E-02
    1.01807      0.634149E-02
    1.02897      0.611974E-02
