#  NACA 0012                                       
#  alpha =   5.0000
#  Mach  =   0.0000
#  Reyn  =   350000
#  Ncrit =   8.0000
#
#    x           nc
   0.678112E-02   0.00000    
   0.504841E-02  0.735491E-10
   0.357717E-02  0.149981E-09
   0.236272E-02  0.226590E-09
   0.140368E-02  0.303730E-09
   0.699086E-03  0.380571E-09
   0.243554E-03  0.456146E-09
   0.259998E-04  0.529107E-09
   0.259998E-04  0.599163E-09
   0.243554E-03  0.669723E-09
   0.699086E-03  0.740291E-09
   0.140368E-02  0.809507E-09
   0.236272E-02  0.876594E-09
   0.357717E-02  0.941107E-09
   0.504841E-02  0.100300E-08
   0.678112E-02  0.106249E-08
   0.878578E-02  0.111996E-08
   0.110804E-01  0.117589E-08
   0.136919E-01  0.123077E-08
   0.166578E-01  0.128513E-08
   0.200280E-01  0.896605E-02
   0.238668E-01  0.110679    
   0.282557E-01  0.292105    
   0.332945E-01  0.526162    
   0.391010E-01  0.808202    
   0.458056E-01   1.14449    
   0.535365E-01   1.54046    
   0.623950E-01   1.99929    
   0.724232E-01   2.52022    
   0.835817E-01   3.09758    
   0.957521E-01   3.72118    
   0.108768       4.37802    
   0.122457       5.05406    
   0.136665       5.73493    
   0.151271       6.40549    
   0.166187       7.04783    
   0.181347       7.63693    

   0.878578E-02   0.00000    
   0.110804E-01  0.749014E-10
   0.136919E-01  0.148710E-09
   0.166578E-01  0.223085E-09
   0.200280E-01  0.298581E-09
   0.238668E-01  0.375801E-09
   0.282557E-01  0.455414E-09
   0.332945E-01  0.538089E-09
   0.391010E-01  0.624466E-09
   0.458056E-01  0.715045E-09
   0.535365E-01  0.810042E-09
   0.623950E-01  0.909206E-09
   0.724232E-01  0.101170E-08
   0.835817E-01  0.111613E-08
   0.957521E-01  0.122086E-08
   0.108768      0.132433E-08
   0.122457      0.142536E-08
   0.136665      0.152324E-08
   0.151271      0.161761E-08
   0.166187      0.170842E-08
   0.181347      0.179573E-08
   0.196704      0.187970E-08
   0.212225      0.196053E-08
   0.227882      0.203842E-08
   0.243657      0.211357E-08
   0.259534      0.218615E-08
   0.275499      0.225634E-08
   0.291543      0.232429E-08
   0.307657      0.239015E-08
   0.323834      0.245404E-08
   0.340067      0.251608E-08
   0.356351      0.257638E-08
   0.372681      0.263504E-08
   0.389054      0.269214E-08
   0.405464      0.274777E-08
   0.421909      0.280201E-08
   0.438387      0.285491E-08
   0.454893      0.290656E-08
   0.471426      0.295699E-08
   0.487983      0.701778E-02
   0.504562      0.313608E-01
   0.521162      0.759339E-01
   0.537779      0.132680    
   0.554413      0.193247    
   0.571062      0.255834    
   0.587724      0.320688    
   0.604397      0.388112    
   0.621081      0.458480    
   0.637773      0.532259    
   0.654473      0.610042    
   0.671178      0.692586    
   0.687888      0.780866    
   0.704602      0.876154    
   0.721317      0.980112    
   0.738033       1.09493    
   0.754749       1.22348    
   0.771463       1.36952    
   0.788174       1.53782    
   0.804880       1.73420    
   0.821580       1.96528    
   0.838269       2.23771    
   0.854945       2.55692    
   0.871596       2.92552    
   0.888206       3.34203    
   0.904738       3.80105    
   0.921117       4.29442    
   0.937198       4.81107    
   0.952717       5.33525    
   0.967266       5.84561    
   0.980369       6.31800    
   0.991680       6.73361    

