Iteration 1
Airfoil 1000001000000101101110101000: 607.3516886704286
Airfoil 1010111110010010010000011101: 605.7860177253524
Airfoil 0100111000011001000000010010: 606.2173382780177
Airfoil 0111111110100100111010110101: 591.9064988768966
Airfoil 0100111000011001000000010010: 606.2173382780177
Airfoil 0110101100101001100010011011: 629.1438913460131
Airfoil 1010111110010010010000011101: 605.7860177253524
Airfoil 1100110000100000110111101001: 560.5475360461921
Airfoil 0100101011010100101010101110: 625.6549307307287
Airfoil 0011101100000111111001110010: 547.1432576597376
Airfoil 1011100010001111111100110001: 603.9582684284769
Airfoil 1100110000100000110111101001: 560.5475360461921
Airfoil 1000001000000101101110101000: 607.3516886704286
Airfoil 1110010110000001101001111010: 532.6189704478419
Airfoil 1000001000000101101110101000: 607.3516886704286
Airfoil 1101010110001000110110011100: 606.7636584656257
Airfoil 1111101000010100011010000000: 516.5634906751092
Airfoil 0110101100101001100010011011: 629.1438913460131
Airfoil 1010111110010010010000011101: 605.7860177253524
Airfoil 1111011011000010111111111111: 490.8317809027644
Iteration 2
Airfoil 0001100000010100011010000000: 613.0605889244923
Airfoil 1011101100010111111001110010: 547.1888112962317
Airfoil 1100111110010110100010111101: 628.4183235284006
Airfoil 1010111100100000110111101001: 545.4444613276727
Airfoil 0100101011000100101010111110: 614.5959376761514
Airfoil 1001011110001000110110011100: 608.9150645467828
Airfoil 1011101100010111111001110010: 547.1888112962317
Airfoil 1010111100100000110111101001: 545.4444613276727
Airfoil 1100111110010110100010111101: 628.4183235284006
Airfoil 1100111110010110100010111101: 628.4183235284006
Airfoil 1010111100100000110111101001: 545.4444613276727
Airfoil 1100111000011001000000011010: 565.3388693488357
Airfoil 0001100000010100011010000000: 613.0605889244923
Airfoil 1100111000011001000000011010: 565.3388693488357
Airfoil 0110101100001001100010011011: 631.3625399662362
Airfoil 1100111110010110100010111101: 628.4183235284006
Airfoil 1010111100100000110111101001: 545.4444613276727
Airfoil 1001011110001000110110011100: 608.9150645467828
Airfoil 1100111110010110100010111101: 628.4183235284006
Airfoil 0100101011000100101010111110: 614.5959376761514
Iteration 3
Airfoil 0110101110001001100010011011: 641.0105542689498
Airfoil 0001100000011111110001110010: 547.3488705283079
Airfoil 1001011110001000111010111100: 593.7653375398922
Airfoil 1011101000010110011010000000: 573.2789028944101
Airfoil 1001011110001000111010111100: 593.7653375398922
Airfoil 1011101000010110011010000000: 573.2789028944101
Airfoil 1101111000010000110111001001: 601.3253151225301
Airfoil 1010101100101100101000111110: 569.2850495725527
Airfoil 1101111000010000110111001001: 601.3253151225301
Airfoil 0101011110010110100010111101: 623.1371703182457
Airfoil 1011101000010110011010000000: 573.2789028944101
Airfoil 0001100000011111110001110010: 547.3488705283079
Airfoil 0101011110010110100010111101: 623.1371703182457
Airfoil 0100100011000011000000011110: 613.9401816361644
Airfoil 1010101100101100101000111110: 569.2850495725527
Airfoil 1001011110001000111010111100: 593.7653375398922
Airfoil 0100100011000011000000011110: 613.9401816361644
Airfoil 1010101100101100101000111110: 569.2850495725527
Airfoil 1011101000010110011010000000: 573.2789028944101
Airfoil 0101011110010110100010111101: 623.1371703182457
Iteration 4
Airfoil 1000100011000010101010101110: 604.4059332845995
Airfoil 1110101000011000110010011010: 587.5139418398091
Airfoil 1101011111100110011010001000: 615.3015070350898
Airfoil 1101111000010000111011111110: 493.1879218377774
Airfoil 1101011111100110011010001000: 615.3015070350898
Airfoil 0110101110001001000111110110: 533.7547614290168
Airfoil 0001100110010110100010111100: 623.2294297603286
Airfoil 0101011000011111110111001010: 613.368717945629
Airfoil 1101111000010000111011111110: 493.1879218377774
Airfoil 0101011000011111110111001010: 613.368717945629
Airfoil 1000100011000010101010101110: 604.4059332845995
Airfoil 1101011111100110011010001000: 615.3015070350898
Airfoil 1110101000011000110010011010: 587.5139418398091
Airfoil 1011101100101000000110011111: 569.653387542791
Airfoil 1101111000010000111011111110: 493.1879218377774
Airfoil 0110101110001001000111110110: 533.7547614290168
Airfoil 1101011111100110011010001000: 615.3015070350898
Airfoil 1110101000011000110010011010: 587.5139418398091
Airfoil 1011101100101000000110011111: 569.653387542791
Airfoil 1000100011000010101010101110: 604.4059332845995
