  
       XFOIL         Version 6.99
  
 Calculated polar for: generation/a6                                   
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.350 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
  -5.000   0.1135   0.02847   0.01927  -0.1673   0.9156   0.0531   8.7523  97.2115
  -4.500   0.2405   0.01582   0.00613  -0.1848   0.9167   0.0267   8.6696  93.9498
  -4.000   0.3263   0.01348   0.00448  -0.1913   0.9143   0.0310   8.8457  94.6401
  -3.000   0.4939   0.01025   0.00249  -0.2036   0.9010   0.1766   9.7644 105.8397
  -2.500   0.5713   0.00966   0.00228  -0.2080   0.8895   0.2792  10.5517 112.3033
  -2.000   0.6526   0.00929   0.00200  -0.2131   0.8755   0.3249  11.4921 115.1021
  -1.500   0.7309   0.00903   0.00180  -0.2176   0.8562   0.3684  12.7696 117.7610
  -1.000   0.7998   0.00892   0.00167  -0.2201   0.8319   0.4084  14.3669 120.2235
  -0.500   0.8634   0.00893   0.00159  -0.2215   0.8044   0.4523  16.1573 122.9374
   0.500   0.9771   0.00920   0.00163  -0.2214   0.7450   0.5577  19.9817 129.4833
   1.000   1.0299   0.00941   0.00173  -0.2205   0.7148   0.6207  21.9118 133.4206
   1.500   1.0807   0.00966   0.00185  -0.2192   0.6846   0.6901  23.8453 137.7790
   2.000   1.1289   0.00992   0.00199  -0.2173   0.6548   0.7642  25.7425 142.4845
   2.500   1.1716   0.01014   0.00213  -0.2141   0.6276   0.8531  27.4745 148.2500
   3.000   1.2088   0.01030   0.00207  -0.2098   0.6031   1.0000  29.0326 160.0000
   3.500   1.2600   0.01077   0.00215  -0.2089   0.5765   1.0000  30.7205 160.0000
   4.000   1.3104   0.01128   0.00225  -0.2079   0.5523   1.0000  32.2592 160.0000
   4.500   1.3590   0.01182   0.00236  -0.2064   0.5271   1.0000  33.8678 160.0000
   5.000   1.4066   0.01235   0.00248  -0.2048   0.5022   1.0000  35.4535 160.0000
   5.500   1.4525   0.01297   0.00261  -0.2029   0.4779   1.0000  37.0017 160.0000
   6.000   1.4979   0.01354   0.00277  -0.2010   0.4534   1.0000  38.5689 160.0000
   6.500   1.5399   0.01422   0.00294  -0.1983   0.4264   1.0000  40.2959 160.0000
   7.000   1.5783   0.01498   0.00314  -0.1950   0.3977   1.0000  42.1450 160.0000
   7.500   1.6133   0.01587   0.00340  -0.1911   0.3616   1.0000  44.4851 160.0000
   8.000   1.6435   0.01708   0.00380  -0.1866   0.3174   1.0000  47.4019 160.0000
   8.500   1.6686   0.01870   0.00445  -0.1814   0.2690   1.0000  50.6117 160.0000
   9.000   1.6909   0.02061   0.00532  -0.1760   0.2236   1.0000  53.6524 160.0000
   9.500   1.7118   0.02271   0.00633  -0.1707   0.1847   1.0000  56.3101 160.0000
  10.000   1.7315   0.02497   0.00748  -0.1655   0.1527   1.0000  58.5581 160.0000
  10.500   1.7499   0.02738   0.00878  -0.1605   0.1297   1.0000  60.2272 160.0000
  11.000   1.7683   0.02992   0.01020  -0.1559   0.1120   1.0000  61.5484 160.0000
  11.500   1.7834   0.03284   0.01189  -0.1513   0.0966   1.0000  62.7487 160.0000
  12.000   1.7948   0.03627   0.01396  -0.1469   0.0809   1.0000  64.0192 160.0000
  12.500   1.8033   0.04022   0.01638  -0.1429   0.0610   1.0000  65.7979 160.0000
  13.000   1.7931   0.04652   0.02059  -0.1384   0.0349   1.0000  68.7062 160.0000
  13.500   1.7783   0.05409   0.02600  -0.1350   0.0240   1.0000  70.4054 160.0000
  14.000   1.7641   0.06234   0.03221  -0.1330   0.0204   1.0000  71.1018 160.0000
  14.500   1.7559   0.07041   0.03845  -0.1323   0.0182   1.0000  71.5763 160.0000
  15.000   1.7374   0.08063   0.04684  -0.1328   0.0168   1.0000  71.9073 160.0000
